Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	1125.0	1125.0	1125.0		375.0	375.0	375.0	0.05962
	1162.0	1162.0	1162.0		337.0	337.0	337.0	0.0756
	1200.0	1200.0	1200.0		300.0	300.0	300.0	0.07619
	1237.0	1237.0	1237.0		262.0	262.0	262.0	0.08586
	1275.0	1275.0	1275.0		225.0	225.0	225.0	0.08986
	1312.0	1312.0	1312.0		187.0	187.0	187.0	0.1005
	1350.0	1350.0	1350.0		150.0	150.0	150.0	0.09556
	1387.0	1387.0	1387.0		112.0	112.0	112.0	0.09737
	1425.0	1425.0	1425.0		75.0	75.0	75.0	0.09366
	1462.0	1462.0	1462.0		37.0	37.0	37.0	0.09817
	1500.0	1500.0	1500.0		0.0	0.0	0.0	0.1045
	837.0	837.0	837.0		812.0	812.0	812.0	8.345E-5
	850.0	850.0	850.0		800.0	800.0	800.0	3.641E-4
	862.0	862.0	862.0		787.0	787.0	787.0	1.008E-4
	900.0	900.0	900.0		750.0	750.0	750.0	0.001677
	937.0	937.0	937.0		712.0	712.0	712.0	0.00395
	975.0	975.0	975.0		675.0	675.0	675.0	0.0104
	1012.0	1012.0	1012.0		637.0	637.0	637.0	0.01521
	1050.0	1050.0	1050.0		600.0	600.0	600.0	0.02806
	1087.0	1087.0	1087.0		562.0	562.0	562.0	0.0358
	1125.0	1125.0	1125.0		525.0	525.0	525.0	0.04822
	1162.0	1162.0	1162.0		487.0	487.0	487.0	0.05328
	1200.0	1200.0	1200.0		450.0	450.0	450.0	0.07335
	1237.0	1237.0	1237.0		412.0	412.0	412.0	0.06946
	1275.0	1275.0	1275.0		375.0	375.0	375.0	0.08073
	1312.0	1312.0	1312.0		337.0	337.0	337.0	0.09831
	1350.0	1350.0	1350.0		300.0	300.0	300.0	0.08994
	1387.0	1387.0	1387.0		262.0	262.0	262.0	0.0952
	1425.0	1425.0	1425.0		225.0	225.0	225.0	0.1034
	1462.0	1462.0	1462.0		187.0	187.0	187.0	0.1015
	1500.0	1500.0	1500.0		150.0	150.0	150.0	0.1033
	1537.0	1537.0	1537.0		112.0	112.0	112.0	0.1029
	1575.0	1575.0	1575.0		75.0	75.0	75.0	0.1044
	1612.0	1612.0	1612.0		37.0	37.0	37.0	0.1185
	1650.0	1650.0	1650.0		0.0	0.0	0.0	0.1064
	912.0	912.0	912.0		887.0	887.0	887.0	1.365E-4
	925.0	925.0	925.0		875.0	875.0	875.0	9.961E-5
	937.0	937.0	937.0		862.0	862.0	862.0	6.104E-4
	975.0	975.0	975.0		825.0	825.0	825.0	0.001594
	1012.0	1012.0	1012.0		787.0	787.0	787.0	0.003761
