#: table_doi: 10.17182/hepdata.95354.v2/t31
#: name: chargino+chargino acceptances (higgsino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely higgsino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(higgsino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
13.343,800.0,0.0018594,0.00042156,-0.00042156
16.678,800.0,0.0016066,0.00035443,-0.00035443
20.014,800.0,0.0014012,0.00030322,-0.00030322
23.349,800.0,0.0012342,0.00026318,-0.00026318
26.685,800.0,0.0010974,0.00023135,-0.00023135
30.021,800.0,0.00098397,0.0002057,-0.0002057
33.356,800.0,0.0025179,0.0025179,-0.0025179
66.713,800.0,0.00041476,0.00017664,-0.00017664
100.07,800.0,0.00027394,0.00010418,-0.00010418
133.43,800.0,0.00020964,7.2016e-05,-7.2016e-05
166.78,800.0,0.00017279,5.5152e-05,-5.5152e-05
200.14,800.0,0.00014801,4.5114e-05,-4.5114e-05
233.49,800.0,0.00012961,3.8469e-05,-3.8469e-05
266.85,800.0,0.00011512,3.3675e-05,-3.3675e-05
300.21,800.0,0.00010329,2.999e-05,-2.999e-05
333.56,800.0,0.00026464,0.00026464,-0.00026464
0.0066713,900.0,4.4531e-27,4.2781e-27,-4.2781e-27
0.010007,900.0,4.0104e-19,3.188e-19,-3.188e-19
0.013343,900.0,4.4573e-15,2.6968e-15,-2.6968e-15
0.016678,900.0,1.3065e-12,6.642e-13,-6.642e-13
0.020014,900.0,5.9171e-11,2.7904e-11,-2.7904e-11
0.023349,900.0,9.0186e-10,4.0999e-10,-4.0999e-10
0.026685,900.0,6.906e-09,3.0564e-09,-3.0564e-09
0.030021,900.0,3.3342e-08,1.4387e-08,-1.4387e-08
0.033356,900.0,1.165e-07,4.8999e-08,-4.8999e-08
0.066713,900.0,2.7652e-05,8.8287e-06,-8.8287e-06
0.10007,900.0,0.00016231,3.9165e-05,-3.9165e-05
0.13343,900.0,0.00040305,7.6718e-05,-7.6718e-05
0.16678,900.0,0.00071362,0.00011423,-0.00011423
0.20014,900.0,0.0010659,0.00015114,-0.00015114
0.23349,900.0,0.0014441,0.00018789,-0.00018789
0.26685,900.0,0.0018393,0.00022547,-0.00022547
0.30021,900.0,0.0022454,0.0002656,-0.0002656
0.33356,900.0,0.0075243,0.0075243,-0.0075243
0.66713,900.0,0.0068165,0.00090572,-0.00090572
1.0007,900.0,0.0077081,0.00082883,-0.00082883
1.3343,900.0,0.0077749,0.00073102,-0.00073102
1.6678,900.0,0.0075463,0.0006512,-0.0006512
2.0014,900.0,0.0072132,0.00058861,-0.00058861
2.3349,900.0,0.0068526,0.00053936,-0.00053936
2.6685,900.0,0.006497,0.00050031,-0.00050031
3.0021,900.0,0.0061597,0.00046922,-0.00046922
3.3356,900.0,0.016556,0.016556,-0.016556
6.6713,900.0,0.0068993,0.0015363,-0.0015363
10.007,900.0,0.004876,0.00097514,-0.00097514
13.343,900.0,0.0036991,0.00069139,-0.00069139
16.678,900.0,0.0029559,0.00052619,-0.00052619
20.014,900.0,0.0024518,0.00042103,-0.00042103
23.349,900.0,0.00209,0.00034964,-0.00034964
26.685,900.0,0.0018182,0.00029875,-0.00029875
30.021,900.0,0.0016065,0.00026098,-0.00026098
