## HSCPM5 efficiencies
## x	y	z	 effi
1205.0	650.0	380.0	0.641
1205.0	650.0	400.0	0.657
1205.0	650.0	430.0	0.676
1205.0	650.0	480.0	0.693
1205.0	650.0	640.0	0.694
1205.0	700.0	480.0	0.699
1205.0	700.0	640.0	0.705
1205.0	750.0	170.0	0.13
1205.0	750.0	640.0	0.701
1205.0	800.0	170.0	0.102
1205.0	800.0	200.0	0.189
1205.0	800.0	280.0	0.432
1205.0	800.0	300.0	0.483
1205.0	800.0	320.0	0.522
1205.0	800.0	340.0	0.561
1205.0	800.0	360.0	0.591
1205.0	800.0	380.0	0.625
1205.0	800.0	400.0	0.648
1205.0	800.0	430.0	0.678
1205.0	800.0	480.0	0.699
1205.0	800.0	640.0	0.7
1205.0	850.0	170.0	0.0771
1205.0	850.0	200.0	0.156
1205.0	900.0	170.0	0.0581
1205.0	900.0	200.0	0.124
1205.0	950.0	170.0	0.0412
1205.0	950.0	200.0	0.0975
1205.0	1000.0	170.0	0.0294
1205.0	1000.0	200.0	0.0748
1205.0	1050.0	170.0	0.0215
1205.0	1050.0	200.0	0.057
1205.0	1050.0	240.0	0.138
1205.0	1100.0	170.0	0.0147
1205.0	1100.0	200.0	0.0427
1205.0	1100.0	240.0	0.11
1205.0	1100.0	280.0	0.215
1205.0	1100.0	300.0	0.268
1205.0	1100.0	320.0	0.322
1205.0	1100.0	340.0	0.376
1205.0	1100.0	360.0	0.428
1205.0	1100.0	380.0	0.472
1205.0	1100.0	400.0	0.515
1205.0	1100.0	430.0	0.567
1205.0	1100.0	480.0	0.627
1205.0	1100.0	640.0	0.7
1205.0	1100.0	850.0	0.614
1205.0	1100.0	960.0	0.543
1205.0	1150.0	170.0	0.0106
1205.0	1150.0	200.0	0.032
1205.0	1150.0	240.0	0.0905
1205.0	1200.0	170.0	0.00843
1205.0	1200.0	200.0	0.0254
1205.0	1200.0	240.0	0.0751
1205.0	1200.0	280.0	0.156
1205.0	1200.0	1190.0	0.429
1405.0	200.0	170.0	0.008
1405.0	250.0	170.0	0.0429
1405.0	250.0	200.0	0.0385
1405.0	250.0	240.0	0.0352
1405.0	300.0	170.0	0.111
1405.0	300.0	200.0	0.109
1405.0	300.0	240.0	0.103
1405.0	300.0	280.0	0.109
1405.0	350.0	170.0	0.17
1405.0	350.0	200.0	0.19
1405.0	350.0	240.0	0.195
1405.0	350.0	280.0	0.199
1405.0	350.0	300.0	0.205
1405.0	350.0	320.0	0.206
1405.0	350.0	340.0	0.21
1405.0	400.0	170.0	0.206
1405.0	400.0	200.0	0.249
1405.0	400.0	240.0	0.276
1405.0	400.0	280.0	0.297
1405.0	400.0	300.0	0.305
1405.0	400.0	320.0	0.31
1405.0	400.0	340.0	0.316
1405.0	400.0	360.0	0.324
1405.0	400.0	380.0	0.321
1405.0	450.0	170.0	0.218
1405.0	450.0	200.0	0.275
1405.0	450.0	240.0	0.328
1405.0	450.0	280.0	0.367
1405.0	450.0	300.0	0.382
1405.0	450.0	320.0	0.393
1405.0	450.0	340.0	0.406
1405.0	450.0	360.0	0.409
1405.0	450.0	380.0	0.418
1405.0	450.0	400.0	0.429
1405.0	450.0	430.0	0.432
1405.0	500.0	170.0	0.218
1405.0	500.0	200.0	0.286
1405.0	500.0	240.0	0.361
1405.0	500.0	280.0	0.409
1405.0	500.0	300.0	0.435
1405.0	500.0	320.0	0.453
1405.0	500.0	340.0	0.47
1405.0	500.0	360.0	0.484
1405.0	500.0	380.0	0.492
1405.0	500.0	400.0	0.504
1405.0	500.0	430.0	0.52
1405.0	500.0	480.0	0.517
1405.0	550.0	170.0	0.212
1405.0	550.0	200.0	0.284
1405.0	550.0	240.0	0.37
1405.0	550.0	280.0	0.432
1405.0	550.0	300.0	0.467
1405.0	550.0	320.0	0.489
1405.0	550.0	340.0	0.509
1405.0	550.0	360.0	0.53
1405.0	550.0	380.0	0.544
1405.0	550.0	400.0	0.556
1405.0	550.0	430.0	0.572
1405.0	550.0	480.0	0.587
1405.0	600.0	200.0	0.283
1405.0	600.0	240.0	0.368
1405.0	600.0	280.0	0.439
1405.0	600.0	300.0	0.476
1405.0	600.0	320.0	0.506
1405.0	600.0	340.0	0.533
1405.0	600.0	360.0	0.55
1405.0	600.0	380.0	0.576
1405.0	600.0	400.0	0.591
1405.0	600.0	430.0	0.611
1405.0	600.0	480.0	0.621
1405.0	650.0	340.0	0.54
1405.0	650.0	360.0	0.565
1405.0	650.0	380.0	0.591
1405.0	650.0	400.0	0.607
1405.0	650.0	430.0	0.635
1405.0	650.0	480.0	0.649
1405.0	650.0	640.0	0.654
1405.0	700.0	480.0	0.666
1405.0	700.0	640.0	0.688
1405.0	750.0	170.0	0.134
1405.0	750.0	640.0	0.692
1405.0	800.0	170.0	0.109
1405.0	800.0	200.0	0.189
1405.0	800.0	280.0	0.405
1405.0	800.0	300.0	0.45
1405.0	800.0	320.0	0.492
1405.0	800.0	340.0	0.533
1405.0	800.0	360.0	0.558
1405.0	800.0	380.0	0.59
1405.0	800.0	400.0	0.612
1405.0	800.0	430.0	0.647
1405.0	800.0	480.0	0.675
1405.0	800.0	640.0	0.703
1405.0	850.0	170.0	0.0815
1405.0	850.0	200.0	0.157
1405.0	900.0	170.0	0.0634
1405.0	900.0	200.0	0.128
1405.0	950.0	170.0	0.0453
1405.0	950.0	200.0	0.103
1405.0	1000.0	170.0	0.031
1405.0	1000.0	200.0	0.0746
1405.0	1050.0	170.0	0.0216
1405.0	1050.0	200.0	0.0569
1405.0	1050.0	240.0	0.138
1405.0	1100.0	170.0	0.0146
1405.0	1100.0	200.0	0.0421
1405.0	1100.0	240.0	0.112
1405.0	1100.0	280.0	0.213
1405.0	1100.0	300.0	0.265
1405.0	1100.0	320.0	0.314
1405.0	1100.0	340.0	0.372
1405.0	1100.0	360.0	0.423
1405.0	1100.0	380.0	0.47
1405.0	1100.0	400.0	0.514
1405.0	1100.0	430.0	0.56
1405.0	1100.0	480.0	0.629
1405.0	1100.0	640.0	0.699
1405.0	1100.0	850.0	0.627
1405.0	1100.0	960.0	0.558
1405.0	1150.0	170.0	0.00909
1405.0	1150.0	200.0	0.0291
1405.0	1150.0	240.0	0.0872
1405.0	1200.0	170.0	0.00591
1405.0	1200.0	200.0	0.0218
1405.0	1200.0	240.0	0.0683
1405.0	1200.0	280.0	0.147
1405.0	1250.0	170.0	0.00426
1405.0	1250.0	200.0	0.0158
1405.0	1250.0	240.0	0.0527
1405.0	1250.0	280.0	0.123
1405.0	1300.0	170.0	0.00286
1405.0	1300.0	200.0	0.0109
1405.0	1300.0	240.0	0.0397
1405.0	1300.0	280.0	0.102
1405.0	1300.0	300.0	0.139
1405.0	1350.0	170.0	0.00172
1405.0	1350.0	200.0	0.00715
1405.0	1350.0	240.0	0.0324
1405.0	1350.0	280.0	0.0834
1405.0	1350.0	300.0	0.12
1405.0	1350.0	320.0	0.157
1405.0	1400.0	170.0	0.00119
1405.0	1400.0	200.0	0.00544
1405.0	1400.0	240.0	0.0241
